group_name,group_code,item_code,item_name,Наименование,Наименованиедлясайта,Цена,Остаток,Видпиломатериала,Порода,Сорт,Толщина,Ширина,Длина,Влажность,Типобработки,СрокпроизводстваднОбщие,ПопулярностьОбщие,Дополнительнаяедизмерения1,Дополнительнаяедизмерения2,Дополнительнаяедизмерения3Общие,Допсвойство,ЕГАИСОбщие,Класс,Код,Количествовм2Общие,Количествовм3Общие,КоличествовупаковкеОбщие,Коэфдополнительнаяедизмерения1,Коэфдополнительнаяедизмерения2,Коэфдополнительнаяедизмерения3Общие,Плотностькгм3Общие,РегионОбщие,СпециальныеценыОбщие
C класс,00-00023614,00-00010232,Блок Хаус стр. сух. хв. 28х140х3000 класс С,Блок Хаус стр. сух. хв. 28х140х3000 класс С,Блок Хаус строганый сухой хвоя 28х140х3000 класс С,22000,По предзаказу,Блок Хаус,хвоя,класс С,28,140,3 000,сухой 12-14%,строганый,7,0,м2,м3,,,,,,"2,38","21,258",,"0,42","0,0118",0,450,,
C класс,00-00023614,00-00010232,Блок Хаус стр. сух. хв. 28х140х3000 класс С,Блок Хаус стр. сух. хв. 28х140х3000 класс С,Блок Хаус строганый сухой хвоя 28х140х3000 класс С,22000,По предзаказу,Блок Хаус,хвоя,класс С,28,140,3 000,сухой 12-14%,строганый,7,0,м2,м3,,,,,,"2,38","21,258",,"0,42","0,0118",0,450,,
C класс,00-00023614,00-00010223,Вагонка штиль стр. сух. хв. 13х115х2700 класс С,Вагонка штиль стр. сух. хв. 13х115х2700 класс С,Вагонка штиль строганая сухая хвоя 13х115х2700 класс С,22000,По предзаказу,Вагонка штиль,хвоя,класс С,13,115,2 700,сухой 12-14%,строганый,7,0,,,,,,,,"3,22","247,739",,0,0,0,450,,
C класс,00-00023614,00-00010222,Вагонка штиль стр. сух. хв. 13х115х3000 класс С,Вагонка штиль стр. сух. хв. 13х115х3000 класс С,Вагонка штиль строганая сухая хвоя 13х115х3000 класс С,22000,По предзаказу,Вагонка штиль,хвоя,класс С,13,115,3 000,сухой 12-14%,строганый,7,0,м2,м3,,,,,,"2,898","222,965",,"0,345","0,0045",0,450,,
C класс,00-00023614,00-00010222,Вагонка штиль стр. сух. хв. 13х115х3000 класс С,Вагонка штиль стр. сух. хв. 13х115х3000 класс С,Вагонка штиль строганая сухая хвоя 13х115х3000 класс С,22000,По предзаказу,Вагонка штиль,хвоя,класс С,13,115,3 000,сухой 12-14%,строганый,7,0,м2,м3,,,,,,"2,898","222,965",,"0,345","0,0045",0,450,,
C класс,00-00023614,00-00010275,Вагонка штиль стр. сух. хв. 13х115х6000 класс С,Вагонка штиль стр. сух. хв. 13х115х6000 класс С,Вагонка штиль строганая сухая хвоя 13х115х6000 класс С,22000,121,Вагонка штиль,хвоя,класс С,13,115,6 000,сухой 12-14%,строганый,7,0,,,,,,,,"1,449","111,482",,0,0,0,450,,
C класс,00-00023614,00-00010275,Вагонка штиль стр. сух. хв. 13х115х6000 класс С,Вагонка штиль стр. сух. хв. 13х115х6000 класс С,Вагонка штиль строганая сухая хвоя 13х115х6000 класс С,22000,121,Вагонка штиль,хвоя,класс С,13,115,6 000,сухой 12-14%,строганый,7,0,,,,,,,,"1,449","111,482",,0,0,0,450,,
C класс,00-00023614,00-00010275,Вагонка штиль стр. сух. хв. 13х115х6000 класс С,Вагонка штиль стр. сух. хв. 13х115х6000 класс С,Вагонка штиль строганая сухая хвоя 13х115х6000 класс С,22000,121,Вагонка штиль,хвоя,класс С,13,115,6 000,сухой 12-14%,строганый,7,0,,,,,,,,"1,449","111,482",,0,0,0,450,,
C класс,00-00023614,00-00010178,Вагонка штиль стр. сух. хв. 13х140х3000 класс С,Вагонка штиль стр. сух. хв. 13х140х3000 класс С,Вагонка штиль строганый сухой хвоя 13х140х3000 класс С,22000,По предзаказу,Вагонка штиль,хвоя,класс С,13,140,3 000,сухой 12-14%,строганый,7,0,м2,м3,,,,,,"2,38","183,158",,"0,42","0,0055",0,450,,
C класс,00-00023614,00-00010177,Вагонка штиль стр. сух. хв. 13х140х6000 класс С,Вагонка штиль стр. сух. хв. 13х140х6000 класс С,Вагонка штиль строганый сухой хвоя 13х140х6000 класс С,22000,154,Вагонка штиль,хвоя,класс С,13,140,6 000,сухой 12-14%,строганый,7,0,м2,м3,,,,,,"1,19","91,575",,"0,84","0,0109",0,450,,
